Rating,Review
5.0,"This place is simply amazing. This is our second trip to the resort and I’m glad to say it’s every bit as charming as the first time we stayed. The staff are lovely and that’s everyone including the cleaners whose attention to detail is second to none. The rooms are spacious and the beds are so comfy. The food is delicious and a good price. The breakfast has a good choice , there is something for everyone !  I would recommend the omelettes which are made fresh to order. The resort pool is a big highlight. It’s never too crowded and the view of the sea when you are swimming is great. This is a lovely resort with amazing staff who make you feel like nothing is too much trouble. I would thoroughly recommend this resort if you are looking to relax and chill out. We will be back next year !"
5.0,"This place is simply amazing. This is our second trip to the resort and I’m glad to say it’s every bit as charming as the first time we stayed. The staff are lovely and that’s everyone including the cleaners whose attention to detail is second to none. The rooms are spacious and the beds are so comfy. The food is delicious and a good price. The breakfast has a good choice , there is something for everyone !  I would recommend the omelettes which are made fresh to order. The resort pool is a big highlight. It’s never too crowded and the view of the sea when you are swimming is great. This is a lovely resort with amazing staff who make you feel like nothing is too much trouble. I would thoroughly recommend this resort if you are looking to relax and chill out. We will be back next year !"
4.0,We stayed here 5 years ago and loved it so decided  to stay again but after covid it starting to look a little sad the rooms are really good and comfy thai style we had upstairs  balcony with sun lounges great looking out at the ocean over pool the best part of the resort. They offer lots of little extras other places don't. Breakfast was ok but because  not a lot of guests  I think too much waste with buffet  style.  Staff  great easy to walk on the beach and heaps food nearby. would I stay again maybe not but it has a really nice feel and loved my 5 days .
5.0,The hotel is on the beach. The pool overlooks the ocean. Beautiful sunsets. Great breakfast. Rooms are nice. BUT the best thing is the staff-- they all care about the guest all the time. This is extremely rare at the price point.
5.0,After visiting the last time in January 2020 we returned for 10 days over Christmas and New Year. This small boutique hotel is still as excellent as ever. Their location is beautiful and in an lovely spot for beach and other amenities including bars and restaurants. However the hotel can only be rated five-star thanks to all of the brilliant staff they have working here. A special shout out to Kate and the reception team for their support with travel and other plans needed due to Covid. Also a really good restaurant and bar team and the housekeeping support is also first class.
4.0,"Hot on the heels of the review below, I can agree that this beautiful hotel is not for people with young children. We have just returned from Khao Lak, which we loved, but ended up moving to a more family friendly resort with our one year old, after three nights at Chong Fah... The hotel is in a fab location, easy walk to local bars/ restaurants of Bang Niang. Beach location however isn't brilliant. Tides mean it's a narrow beach at best, if non existent. The hotel is a lovely size, not of big or too small. Great restaurant, for both breakfast and dinner. Loved it all. This would have been the perfect place for us pre-baby.The clientele here during our stay were mostly older, quiet couples, clearly here to relax and read quietly around the very beautiful pool. We felt bad every time our baby cried (or giggled!), and soon became quite uncomfortable, feeling like we were spoiling the peace! Anyway, we left with no fuss, with part of our stay kindly refunded. The management were very helpful and understanding in this, but I agree with the poster below, perhaps it's time for the management to introduce a no-child policy. There's nothing here for kids anyway, and I suspect older kids (16 and under) would be bored out of their brains! However, to list the many positives:Room was stunning, with better views than expected over the pool to the sea (we booked a standard room). It was huge, and beautifully furnished in Thai/Balinese style. In fact, I wondered whether we had been upgraded (we hadn't), so the deluxe rooms must be amazing... Spotless, comfy bed, plenty of storage and mod cons. Bathroom was lovely. All very romantic too!Staff were very lovely, very helpful, if quieter and more discrete than we came across during our trip to Thailand. But I think that goes hand in hand with the atmosphere at Chong Fah.Food/drinks, superb, and not much more expensive than other local restaurants. All in all, this place is a gem. Just don't go with a young family. If I ever get the chance to return to Chong Fah with just my husband, well, that would be heaven..."
5.0,"There are so many good things to write about Chong Fah Resort that it could take up the whole review, but I thought I’d try to write a beneficial review that may be helpful to others thinking about staying here. I am being brutally honest here – so the People at Chong Fah should regard it as constructive criticism. I will try to address the issues raised by previous reviewers and cast my unbiased comment on their views.1.	Some reviewers commented about the large number of Germans staying at Chong Fah – yes there is a lot of Germans, but they were friendly, and like us, looking for a good holiday regardless of who else stays there. Spare a thought for the staff - having to speak English and German, plus Russian and whatever else.2.	Not many children stayed there – so from my perspective that is a real plus. No unnecessary splashing in the pool, and an absence of incessant squealing and crying. Sorry if I offend some parents – I have raised 4 children of my own and enjoy the peace and quiet now they have grown up. You will feel the same one day.3.	Most people there were of the age 45 – 65, so being in the 50 – 60 age group, I felt quite at home.4.	There is no beautiful white sand beach in front of Chong Fah – the beach has been reclaimed and there is a rock wall with stairs leading to the beach. The beach is only visible at low tide – so if you love the beach for sun baking and swimming – find somewhere else to stay, or take a short walk to where the sandy beach in its natural state is available..5.	The room facilities:a.	Power points are not in abundance, so charging phones and tablets is a little challenging using all available power outlets. My suggestion is to take a light weight power board – in fact that is a great tip for whenever you go overseas.b.	There is no PC work area/ desk – I had to use the coffee area and a stool, which gave me a sore back. The room is not suitable if you want to conduct some business whilst there.c.	The chairs (inside and outside) are not very comfortable, in fact other than the bed, most furniture is there for looks rather than comfort.6.	The restaurant is very good and very affordable compared to many resorts. Yes it is cheaper outside, at restaurants with lower overheads, but for an extra 40% or so you get great service and the convenience of not having to leave the resort. This is a resort you can move into and stay for your whole holiday without feeling as if your missing out on something. This is not my style but it may suit some. 7.	Being a small “boutique” resort has many benefits. From the front entrance to the further most room is only a short stroll. This means the pool and the restaurant are very conveniently located, not far from any rooms.8.	The resort is fairly friendly to people with disabilities – reasonably flat with ramps available 9.	Water pressure for the indoor shower was poor in our room – but we were at the end of the row of units and often that means you get the worst water pressure. The outdoor shower was great, but it wasn’t hot. We didn’t use the outdoor spa, but some people may find that more attractive than we did10.	Coffee machine was great – very good for an in-room facility.11. Khao Lak is like Phuket was 20 - 30 years ago. That was attractive to us but may be a problem to those looking to be in the centre of activity. Dining prices are cheaper and there is more top quality restaurants and bars."
5.0,"During our 6th visit, Chong Fah Resort continued to offer its special magic. In Thailand it is common to experience happy and friendly staff at hotels, but here with the boutique nature of the resort and the superb leadership from the owners and Khun Rong, the service is at an even higher level. The teamwork is so evident, as is the desire of all employees to make their guests’ time at Chong Fah as memorable as possible.The restaurant offers a good choice at breakfast, and the dinner menu is excellent. The Asian Buffet is an absolute MUST! Despite the high quality of the food (and naturally the chefs), the prices are very reasonable. Certainly, one could eat for less money in local restaurants, but without the same guarantee of quality and cleanliness.Housekeeping do a wonderful job. Our room was always cleaned to perfection, and they bring special touches to their work, especially with a range of creative towel “sculptures”.  But sadly this year we have also experienced one problem, which made the holiday less enjoyable. Chong Fah is a resort to relax at. Many reviews note that it is not suitable for children. How right that is. But this time a family of three - the parents and their young child - did their best to destroy the peaceful ambience. Although during the previous visits, we also noticed children, but they behaved well and there was no reason for complaints. This child, a boy about three or four years old, was allowed to run around screaming in the restaurant at mealtimes and behaved the same way in the pool. He was simply not controlled by the parents. Which may not be a surprise because the mother was also extremely loud. They also ate at the poolside, with the inevitable result that, for example, ice-cream ended up in the pool. This poor behaviour affected almost all the other guests, and was a recurring topic of discussion. We coped in part by changing our daily rhythm - for example only going to breakfast after the child had left and the clean-up process had begun and timing our swims in the pool to avoid him.We wonder if it might not be time for the Resort to turn to a formal “no-children” policy - the resort is simply not big enough and does not have the facilities for children, especially young ones. Many boutique hotels are now taking this route. It is not to do with not liking children, solely that some resorts are not suitable for them."
5.0,"Nb. this resort is located in Phang Nga and not Takua Pa!!I have never experienced anything like my time at the Chong Fah, from where I have just returned after two weeks for my honeymoon. It was the holiday of a lifetime, exceeding all my (very high) expectations, and the Chong Fah was central to that, From the moment we arrived we felt at home, and were made to feel like the most important guests at the resort, and am sure all the other guests were made to feel exactly the same. Beautiful location, perfect resort design, incredible cleanliness, service that goes way beyond the call of duty (I would not single out any individual staff members, everyone from the management to the groundsmen were wonderful), food to make your mouth water.... it has it all. I could go on and on, but would not begin to express how much I miss the place. If you are considering Khao Lak, and considering the Chong Fah, I guarantee you will never make a better decision then to go for it. Am sure I will return one day, and I cannot wait!"
5.0,"Now I am sure there are many wonderful hotels throughout the world which could rival the Chongfah Beach Resort. I have stayed in many of them. But this was like Paradise to me.It is,  quite a small hotel with only about 30 rooms. Some are beach bungalows, some garden bungalows and some Garden view rooms. My daughter and I chose a beach bungalow, which, for us, was absolutely right. We had a huge bedroom a beautiful bathroom and a seperate spa/jacuzzi bath.Seperated from the rolling waves by a low wall, and a strip of grass they are as close to the sea as you can get without getting your feet wet. The infinity pool felt like swimming in warm velvet. Surrounded by well tended gardens and trees decked with twinkling lights there is an exclusive, peaceful feel to the whole resort. We chose to eat most evenings in the hotel restaurant which again faces out across the sea. They had barbeques and buffets most evenings which, we found were quite reasonably priced. Happy hour offered two cocktails for the price of one.  We watched the fishing boats as they set sail and enjoyed cocktails sat on comfortable sofas and chairs situated on the grass next to the ocean. Everything is clean and well cared for from the toilets to the well tended gardens. You can take the free bikes in the foyer and cycle down the quiet road outside the hotel to a beach about a half mile away. The beach next to the hotel is very small, though the guests go swimming from there. The waves are quite strong and you could hurt yourselve on the rocks. The hotel offer spa treatments and massage although we had no time to take advantage of them.The staff are friendly and efficient. The breakfast offers everything from omelettes to curry. If I had one small criticism I would say they need to keep all the breakfast foods covered as the cold meats and salads were left unprotected allowing small flies to get on the food. We tended to choose the freshly cooked eggs or omelettes and bacon and toast as all these were kept under cover. You are within easy walking distance of all the shops restaurants and bars where cocktails are offered at about 99bhts (£2), although the amount of alcohol they put in them can be quite mean compared to the ones at the Chongfah!   There is a market close by too. If you fancy Luis Vuitton or Gucci then this is the place for you. The prices might give you a clue to their pedigree though. We took a taxi to the Khao Lak waterfall which involves a half hour uphill walk to the falls. Another day we walked to the Tsunami memorial Park9still under construction) and saw the police boat which was washed up 2 klm inland. The marble memorial is especial touching. It represents the huge wave that engulfed this part of Thailand. We plan to return to Thailand and the Chong Fah is on our list of preferred hotels. After all, once you find Paradise you don't want to lose it!!"
2.0,"We booked this resort because of the good reviews of TripAdvisor, but it was a disappointment.-  Deluxe room:  a little bit old, too dark, and with a noisy air conditioner. There were mosquitoes in the room, and after complaining a couple of times, we finally asked them to put a mosquito net. They did it, but it looked that they did not like our request as they were quite rude and ironic to us. After this, the thai smiles were gone.- Breakfast: average and no fresh juice. Lack of hygiene with the bread. Employees did not use gloves. -  There is no security. Anyone can enter to the hotel. As you lay down on the sunbed, you see people walking by, and staring you.For the price you pay, there are better and friendlier choices in the area."
5.0,Very attentive staff from arrival to departure. Bar / restaurant staff amazing Nothing too much trouble Short walk into town and also left to beach bar and massages. Loved our stay x thank you to Nunu and Pea xxPool is just lovely especially if no one else wishes to share!!!Read more
5.0,The hotel is on the beach. The pool overlooks the ocean. Beautiful sunsets. Great breakfast. Rooms are nice. BUT the best thing is the staff-- they all care about the guest all the time. This is extremely rare at the price point.Read more
4.0,We stayed here 5 years ago and loved it so decided  to stay again but after covid it starting to look a little sad the rooms are really good and comfy thai style we had upstairs  balcony with sun lounges great looking out at the ocean over pool the best part of the resort. They offer lots of little extras other places don't. Breakfast was ok but because  not a lot of guests  I think too much waste with buffet  style.  Staff  great easy to walk on the beach and heaps food nearby. would I stay again maybe not but it has a really nice feel and loved my 5 days .Read more
5.0,"The Chong Fah is a real gem of a small, boutique hotel, thoroughly deserving of its 5 star rating. The guest rooms are roomy and beautifully appointed, our beach front room was literally a few meters from the sea and included an outdoor whirlpool bath in addition to the indoor toilet and shower.The staff could not be more friendly and helpful, the domestic staff kept our room immaculately tidy despite our best efforts!The buffet breakfast was excellent and having eaten in for lunch or dinner on several days, we would thoroughly recommend the in house dining experience and food.Read more"
5.0,"This was our 5th visit to Chongfah and it’s standards have never dropped. It excels in all aspects, cleanliness, rooms, food and staff etc. It is a small resort with a wonderful family feel. You feel a person and not merely a room number.As this was our first trip since the outbreak of covid I admit to some trepidation, however it was groundless. Although Chongfah was sadly under occupied, we still had a good choice for breakfast, albeit table service. We usually had lunch at the resort and quite often dinner too as the food is so good and is comparable in price to the other restaurants in Bang Niang. We were so well looked after that we left totally relaxed with batteries recharged and looking forward to returning next year. Our grateful thanks to all the staff, especially the lovely ladies who cleaned our bungalow, Kate in reception and Roger, Bea and Cookie from the restaurant.See you next year our friends xRead more"
5.0,After visiting the last time in January 2020 we returned for 10 days over Christmas and New Year. This small boutique hotel is still as excellent as ever. Their location is beautiful and in an lovely spot for beach and other amenities including bars and restaurants. However the hotel can only be rated five-star thanks to all of the brilliant staff they have working here. A special shout out to Kate and the reception team for their support with travel and other plans needed due to Covid. Also a really good restaurant and bar team and the housekeeping support is also first class.Read more
5.0,"This was my husband and my fourth visit to this fantastic resort. It is so good that we would now never go to any other hotel/resort in Khao Lak.It is a small resort with a relaxing, family atmosphere and where you are a person, not just a room number. We are lucky to have travelled extensively and the staff here are the friendliest and most efficient we have come across, and that is everyone from the restaurant and reception to the lovely lady who cleaned our bungalow.There is a nice selection of dishes for breakfast and should you wish to dine there for lunch or dinner, the food is very good and at a reasonable price.At low tide it’s possible to have a long walk along the beach. There is also a lovely infinity pool. The resort is in easy walking distance to Bang Niang town with all its amenities including a twice weekly market.We would like to pass on our thanks to all the staff particularly Yada in reception, Khean the lovely lady who cleaned our bungalow, Pea and May in the restaurant and special thanks to Roger and Sod in the restaurant, it was great to see you again this year.Read more"
4.0,"This is a lovely boutique hotel of approx 20 apartments. It has a wonderful infinity pool where you could just spend hours relaxing looking at the sea. The hotel is very much in to eco and therefore is very green in its approach. It is right on the beach and close to many shops and restaurants out side the resort but still nice and quiet. The staff are wonderful, helpful, friendly and very efficient which made the stay so much nicer. I would recommend this hotel and would return given the opportunity.Read more"
5.0,"I really enjoyed my stay here.  The staff are excellent.  Kate is a great manager and gave me good advice on a snorkeling trip.  Breakfast has a large number of choices.  A pretty infinity pool overlooks the sea.  Rooms are one floor of a two-story cottage-like structure and have a nice amount of room with a deck or outdoor area (but I'd have to say I never used it).  It's great to have breakfast outside right at seaside, or to use the lounge chairs that line the water front -- a great, peaceful place to relax.  Be aware, however, that there is no beachfront to the hotel (it's just rocks, so you can't access the water).  But you can walk north a block and there is a large beach area, or at the south end of the property there is a tiny little cove with some sand and you can go down to the water there.Read more"
5.0,"This is the second time war have been to the Chongfah and we had a wonderful time. The staff cannot do enough for you. It was relaxed and friendly. I celebrated my birthday there and they surprised with with a wonderfully decorated table, flowers from the gardens and even my own birthday cake and hand made card, it absolutely made my day. The quality and quantity of the food was brilliant and the cleanliness outstanding. Roger the manager was very accommodating and his and his staff are to be commended for giving us a memorable holiday. Thank you allRead more"
5.0,"Spent 4 nights at Chongfah this JanuaryLovely bed and breakfast, quietly tucked on the water, while near the townExtensive breakfast. nice and friendly staff. Roger at the restaurant is very helpful and kind. we ate nearly all of our meals here.Great pool, plenty of chairs by the pool or over the water.  There's a sea wall along the edge of the property, but you can walk down the water (note we experienced the little invisible 'stinging' jellies and didn't love the seawater anyway! much preferred the pool)We scheduled poolside massages which was relaxing and affordable at 350b/hr Halfway through our stay we asked to switch rooms - moving from the ground floor to an upstairs room was much better, and gave us a sunny terrace and better airflow. I'd recommend a top floor or water front.Recommend this hotel for a lovely b&b in Khao LakRead more"
5.0,Just a short review as we just wanted to thank all the staff for their excellent hospitality - they make this hotel a 5 star experience 👍. We would recommend this hotel without hesitation ! It’s a quiet location with access to beach down some steps / has a lovely warm pool and the food in the restaurant is excellent (stops you wanting to go out to nearby restaurants) - also prices for drinks very reasonable and they have a happy hour too !Read more
5.0,"My husband and I stayed at Chong Fah for 5 nights and had a very relaxing stay. The resort setting is beautiful with a large infinity pool looking out to the sea. There are 2 sun lounger areas - round the pool (non smoking) and on the other side of the pool (smoking area) looking out to sea.Our room was also very large, lovely big bed, pillow menu, large bathroom and large covered balcony with 2 sun loungers on - we liked sitting on these watching the view on the afternoons that it rained!Breakfast was good and the most extensive of our stay in Thailand. We ate lunch there most days as the offerings in town weren’t fantastic, as well as a couple of dinners - the food at Chong fah was the best Thai food that we found in Khao Lak and it wasn’t dumbed down for western tastes (which is what we experienced elsewhere in Khao Lak).The hotel also organised transfers for us to and from Phuket airport which was really smooth and comfortable. All in all if you want to relax and chill out with a beautiful view, lovely comfortable rooms and friendly staff, this is the place for you.Read more"
5.0,This is a really special hotel to stay at or visit for the day or as we did sunset and cocktails. You just have to use use the toilets to realise how immaculate this place is kept. The staff were so welcoming and the view is incredible. If you want a really peaceful hotel with garden rooms looking over the pool or hotel yet close to the village life then this is the best.Read more
5.0,"Everything positive that you read about this resort in other reviews is true so I won’t repeat it. What I want to share with you is my story which will give you an idea of how exceptional this place is.On my second night here I stumbled and fell. Sod (I believe it’s pronounced Sort) tried to save me ,he was terrified I was going to hit my head. In his attempt to save me he fell with me , I’m positive he must have hurt himself but did not show it.This was my own fault and was not the hotels fault in any shape or form.As I fell I severely broke my ankle, I ended up going to hospital in Phuket. I spent 3 nights in there and had 12 pins and a plate inserted. Sort came with us and helped to translate everything that was going on. He stayed with us until I told him to go home at about 4.30 am in the morning.We could not get hold of our insurance, Sod told me that the hotel had insurance and would happily use it for me all we had to do was pay the excess. I could have kissed him.The next day the owner came to the hospital to see how I was doing and bought me a beautiful flower arrangement and helped me feel confident that the bill was covered.The day after that she came again with a gift bag of biscuits.The food in the hospital was absolutely appalling, worse than the NHS and it was the same company sedexo that do our local hospital food. I asked my partner to ask the hotel if they could do me a sandwich or something. He came with a cheese and ham sandwich and other goodies and no charge. It sounds silly but it was the best sandwich I ever had.They paid for my Taxi to the hotel which was about £75.When I got back , there was a get well card and a message over the bed.The owner lent me a wheel chair and came to see me and ask if there was anything to help with my stay. I asked for some bags to cover my cast and a chair for the shower. When I returned to the room it was there and a table for my things.The hotel is not that easy to get around in a wheel chair but every time a member of the staff saw me they would come running over to help. It seems daft but they seemed to be fighting for the privelidge to help me. Even the chiefs would come running out to help.Nothing but nothing was to much bother, even phoning the room to check that we were all right. They carried me into the hotel, and I am a large lady, I know it hurt them.  4 people once carried me in the wheelchair.As people were helping me the waitress would be getting my table ready. They knew exactly what was working for me, ie they knew which table , they would move a chair out for my wheelchair and put a chair to rest my leg.They did so much for me that I was crying with emotion , they were so thoughtful and considerate. On the last day I was thanking Sod and he said that why would they not help me , this was my home! That summed it up for me , they want you to feel at home.They wear t shirts saying the Chong Fah team. Personally I think it should be changed to the Chong Fah family.I would like to say a massive thank you to everyone , from the owner to the reception staff but I’d like to say a special thank you to Sod, thank you for your time and the calming influence. Thank you for staying with me until 4.30 amRogerThank you for all that you did, for organising people and looking after Richard, for pushing me up a ramp.Yarda,Thank you for carrying me , putting your hands on my waist to steady me. Thank you for catching me when I wobbled.To all the waitresses, I’m sorry I don’t know your names, but thank you all for looking after me and carrying my crutches. Your attention to detail was lovely.This holiday was for my partner’s retirement . I was so upset that I felt it was ruined. Yes we didn’t do what we wanted but we made the most of it and without the love and care from all the staff it would have been totally ruined.We have decided that if we can we will be back in February. I have never gone to the same hotel twice but on this occasion I will be returning to the Chong Fah.Read more"
5.0,"We stayed here for two full weeks and had a great time. The place is clean and well-taken care of, it's not exactly brand new, but really nice. Location is perfect, right on the beach. You can see waves breaking just meters off the dining area. The food is plentiful and fresh, although you can find a whole lot of local restaurants within 5-10 minutes walk which will save you money. The pool is clean and safe, we made good use of it during our stay. But the best thing about the place is the staff. Everyone seemed genuinely interested in making our stay fun and comfortable and going above and beyond of what's expected from the palace like this. We highly recommend this resort to everyone and will certainly be back.Read more"
5.0,"Beautiful in every way and the staff cannot do enough to make your stay memorable. They all go out of their way to provide for your every need. The pool is so clean and is amazing. There is no better way to enjoy sipping on a cocktail watching the sun set in the horizon across the Andaman Sea, My room overlooks the ocean and is quiet, beautifully appointed, with the most comfortable bed I have slept in. I cannot speak highly enough of this place.Read more"
5.0,"My husband and I celebrated our anniversary staying at Chongfah in a beautiful beach front villa. We cannot speak highly enough of our experience here. As well travelled people, we experienced exemplary service from the staff. The hotel was immaculate at all times. Included breakfast was superb. Location terrific. We plan on returning next year with the family. We were greeted by Jai on arrival who’s calm demeanour and capable approach to all things made our stay so enjoyable. Soo and Yada greeted us each morning with gorgeous greetings and smiles and remembered our coffee orders. In the afternoons for happy hour May and Mook giggles and smiles and even delivered our cocktails to us in the pool one afternoon during a tropical afternoon storm.  :)Ni and her team did an incredible job of our room twice a day. When we arrived our outdoor spa was already filled with water and fragrant leaves and flowers. They decorated our bed daily with pandanus bouquets and could not have been any more helpful. For all seven days we were treated like royalty. The hotel is a casual 1km flat stroll to the Bang Niang markets, or use the hotel shuttle or free push bikes. There are restaurants, bars and street food all within a walk. The beach is only able to be walked on during low tide but the sunsets are incredible every day. We walked a huge distance north during low tide and it was calm relaxing and safe. Highly recommend.Read more"
5.0,"A last minute trip away for some time out and choosing to stay here was the best decision.I can only agree with the reviews written by others who also enjoyed their experience at Chongfah.Location was ideal, size of the resort just right, the bungalow had everything one would need and all the meals I had at the restaurant were very tasty and good value. All staff were exceptional - friendly, caring and very genuine about making sure my stay was special.Read more"
